Gene
ADAMTSL3
AKAP9
ARID1A
BAG6
BMI1
C19orf38
CDKN2A
CSMD1
DCLK1
DNAH11
DNAH3
DNAH7
EVPL
FAT4
GLI3
GNAS
GPR153
GPR98
HMCN1
HS1BP3
HSPG2
HUWE1
KRAS
LRP1B
LRP2
MAB21L1
MT-CO1
MTR
MUC16
MUC4
NALCN
NVL
OBSCN
PDCD11
PLEC
PTPRS
RADIL
RYR1
RYR2
RYR3
SACS
SEMG1
SLC35E1
SMAD4
SYNE1
TENM3
THSD7B
TP53
TTN
URB1
VWA5B1
ZFHX4
ZFP36L2
ZNF287
ZNF831
